,link,max_salary,min_salary,site,title
87,https://spb.hh.ru/vacancy/37387823?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,90000руб.,70000руб.,https://hh.ru,Водитель-экспедитор
88,https://spb.hh.ru/vacancy/36365846?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,50000руб.,40000руб.,https://hh.ru,Администратор колл центра (Оператор)
89,https://spb.hh.ru/vacancy/37399601?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,90000руб.,https://hh.ru,Менеджер по активным продажам
90,https://spb.hh.ru/vacancy/37384429?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,50000руб.,https://hh.ru,Менеджер по продажам
91,https://spb.hh.ru/vacancy/37400352?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,880бел.руб.,,https://hh.ru,Промоутер
92,https://spb.hh.ru/vacancy/37398867?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,50000руб.,45000руб.,https://hh.ru,Офис-менеджер
93,https://spb.hh.ru/vacancy/36699402?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,70000руб.,https://hh.ru,"Андеррайтер, Риск-менеджер, Кредитный аналитик, специалист по выдаче банковских гарантий"
94,https://spb.hh.ru/vacancy/37383962?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,15000000сум,4000000сум,https://hh.ru,Менеджер по продажам
95,https://spb.hh.ru/vacancy/29622662?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,1400бел.руб.,900бел.руб.,https://hh.ru,Водитель-курьер (на автомобиле компании)
96,https://spb.hh.ru/vacancy/35234644?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,70000руб.,39000руб.,https://hh.ru,Менеджер по продажам (без поиска клиентов)
